label,query,engine,json_file,max_results,start_year,end_year,pdf_folder
pubmed_Ethiopia_Infectious bovine rhinotracheitis OR infectious pustular vulvovaginitis (IBR OR IPV),"(Livestock OR ruminants OR cattle OR cow) AND Ethiopia AND (IBR OR BHV OR BoHV OR ""infectious bovine rhinotracheitis"" OR ""herpesvirus bovine"" OR ""pustular vulvovaginitis"" OR ""bovine rhinotracheitis virus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Infectious bovine rhinotracheitis OR infectious pustular vulvovaginitis (IBR OR IPV).json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Infectious necrotic hepatitis,"(Livestock OR ruminants OR sheep OR ewe OR ram) AND Ethiopia AND (""Infectious necrotic hepatitis"" OR ""black disease"" OR ""Clostridium novyi"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Infectious necrotic hepatitis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
"pubmed_Ethiopia_Infestation with ticks, fleas, lice, mange, mites","(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR e	we OR bull) AND Ethiopia AND (Ectoparasit* OR lice OR fleas OR mange OR mites OR Demodex OR Rhipicephalus OR Psoroptes OR Hyalomma OR ""Melophagus ovinus"") AND (prevalence OR incidence)",pubmed,"output/pubmed_Ethiopia/json/Infestation with ticks, fleas, lice, mange, mites.json",200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Leptospirosis,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND Leptospir* AND (prevalence OR incidence),pubmed,output/pubmed_Ethiopia/json/Leptospirosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Listeriosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe) AND Ethiopia AND (Listeri* OR ""Listeria monocytogenes"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Listeriosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Lumpy skin disease (LSD),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (""Lumpy skin disease"" OR LSD) AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Lumpy skin disease (LSD).json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Malignant catarrhal fever (MCF),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (""Malignant catarrhal fever"" OR MCF OR ""ovine herpesvirus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Malignant catarrhal fever (MCF).json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Nematodiasis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (""gastrointestinal helminths"" OR ""gastrointestinal parasites"" OR nematode* OR helminth* OR helminthiasis OR ""lung worms"" OR lungworms OR ""lung helminths"" OR ""lung parasites"" OR Strongyloid* OR Ostertagi* OR Haemonch* OR Trichostrongyl* OR Nematodirus OR Parmphistomum OR Oesophagostomum OR Dictyocaulus OR Protostrongylus) AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Nematodiasis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Neosporosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Ethiopia AND (Neosporosis OR ""Neospora caninum"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Neosporosis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
pubmed_Ethiopia_Ovine epididymitis,"(Livestock OR ruminants OR sheep OR ram) AND Ethiopia AND (""Ovine epididymitis"" OR ""Brucella ovis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Ethiopia/json/Ovine epididymitis.json,200,2010,2020,output/pubmed_Ethiopia/pdf/
