label,query,engine,json_file,max_results,start_year,end_year,pdf_folder
pubmed_Nigeria_Enzootic bovine leukosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (""enzootic bovine leukosis"" OR ""bovine leukemia virus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Enzootic bovine leukosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Fasciolosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Fasciol* OR ""Fasciola hepatica"" OR ""Fasciola gigantica"" OR ""liver fluke"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Fasciolosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Foot and mouth disease (FMD),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (""Foot and mouth disease"" OR FMD) AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Foot and mouth disease (FMD).json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Haemorrhagic septicaemia,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (""Haemorrhagic septicaemia"" OR ""Pasteurella multocida"" OR Pasteurell*) AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Haemorrhagic septicaemia.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Infectious bovine rhinotracheitis OR infectious pustular vulvovaginitis (IBR OR IPV),"(Livestock OR ruminants OR cattle OR cow) AND Nigeria AND (IBR OR BHV OR BoHV OR ""infectious bovine rhinotracheitis"" OR ""herpesvirus bovine"" OR ""pustular vulvovaginitis"" OR ""bovine rhinotracheitis virus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Infectious bovine rhinotracheitis OR infectious pustular vulvovaginitis (IBR OR IPV).json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Infectious necrotic hepatitis,"(Livestock OR ruminants OR sheep OR ewe OR ram) AND Nigeria AND (""Infectious necrotic hepatitis"" OR ""black disease"" OR ""Clostridium novyi"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Infectious necrotic hepatitis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
"pubmed_Nigeria_Infestation with ticks, fleas, lice, mange, mites","(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR e	we OR bull) AND Nigeria AND (Ectoparasit* OR lice OR fleas OR mange OR mites OR Demodex OR Rhipicephalus OR Psoroptes OR Hyalomma OR ""Melophagus ovinus"") AND (prevalence OR incidence)",pubmed,"output/pubmed_Nigeria/json/Infestation with ticks, fleas, lice, mange, mites.json",200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Leptospirosis,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND Leptospir* AND (prevalence OR incidence),pubmed,output/pubmed_Nigeria/json/Leptospirosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Listeriosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ewe) AND Nigeria AND (Listeri* OR ""Listeria monocytogenes"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Listeriosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Lumpy skin disease (LSD),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (""Lumpy skin disease"" OR LSD) AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Lumpy skin disease (LSD).json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Malignant catarrhal fever (MCF),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (""Malignant catarrhal fever"" OR MCF OR ""ovine herpesvirus"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Malignant catarrhal fever (MCF).json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Nematodiasis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (""gastrointestinal helminths"" OR ""gastrointestinal parasites"" OR nematode* OR helminth* OR helminthiasis OR ""lung worms"" OR lungworms OR ""lung helminths"" OR ""lung parasites"" OR Strongyloid* OR Ostertagi* OR Haemonch* OR Trichostrongyl* OR Nematodirus OR Parmphistomum OR Oesophagostomum OR Dictyocaulus OR Protostrongylus) AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Nematodiasis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Neosporosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Neosporosis OR ""Neospora caninum"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Neosporosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Ovine epididymitis,"(Livestock OR ruminants OR sheep OR ram) AND Nigeria AND (""Ovine epididymitis"" OR ""Brucella ovis"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Ovine epididymitis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Paratuberculosis,"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Paratuberculosis OR ""Johne’s disease"" OR ""Mycobacterium avium"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Paratuberculosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Pasteurellosis,(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Pasteurell* OR Manhemi*) AND (prevalence OR incidence),pubmed,output/pubmed_Nigeria/json/Pasteurellosis.json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Peste des petits ruminants (PPR),"(Livestock OR ruminants OR sheep OR goats OR ram OR ewe) AND Nigeria AND (PPR OR ""Peste des petits ruminants"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Peste des petits ruminants (PPR).json,200,2010,2020,output/pubmed_Nigeria/pdf/
pubmed_Nigeria_Q fever (Coxiellosis),"(Livestock OR ruminants OR sheep OR goats OR cattle OR cow OR ram OR ewe OR bull) AND Nigeria AND (Coxiell* OR ""Q fever"" OR ""Coxiella burnetii"") AND (prevalence OR incidence)",pubmed,output/pubmed_Nigeria/json/Q fever (Coxiellosis).json,200,2010,2020,output/pubmed_Nigeria/pdf/
